date,name,location,humidity,temperature,sound,id
2016-03-20 03:21:00,robo-sensor-pad-188842AGKb90,United States,51,15,21,188842
2016-03-20 03:21:00,robo-meter-gauge-188843uS0me62dv,United States,45,20,79,188843
2016-03-20 03:21:00,robo-sensor-pad-188844PNvG2cGba,United States,51,33,35,188844
2016-03-20 03:21:00,robo-therm-stick-1888455BdiruGg2r,Denmark,73,19,14,188845
2016-03-20 03:21:00,robo-sensor-pad-188846Ct9Gv,United States,99,25,59,188846
2016-03-20 03:21:00,robo-device-mac-188847jySXgO7tl,Netherlands,70,15,7,188847
2016-03-20 03:21:00,robo-sensor-pad-188848xLik99217,Canada,36,29,54,188848
2016-03-20 03:21:00,robo-meter-gauge-188849XkOdbs8,France,95,21,79,188849
2016-03-20 03:21:00,robo-sensor-pad-1888500LORkfQWv,Portugal,50,13,3,188850
2016-03-20 03:21:00,robo-meter-gauge-188851LRbO4hMFu,Bangladesh,43,32,0,188851
2016-03-20 03:21:00,robo-sensor-pad-188852TIwUU9GCKU,United States,98,23,13,188852
2016-03-20 03:21:00,robo-device-mac-188853D0NDI8oHxC,Venezuela,57,19,56,188853
2016-03-20 03:21:00,robo-sensor-pad-188854HdSzqAx,United States,25,14,50,188854
2016-03-20 03:21:00,robo-therm-stick-188855VJSh9h,Italy,38,34,98,188855
2016-03-20 03:21:00,robo-sensor-pad-188856ZINgr,Republic of Korea,86,18,94,188856
2016-03-20 03:21:00,robo-meter-gauge-188857Q2JpPKtd,United States,69,10,91,188857
2016-03-20 03:21:00,robo-sensor-pad-188858mvV0I3,United States,68,24,44,188858
2016-03-20 03:21:00,robo-device-mac-188859vy82wpTM,United States,45,26,25,188859
2016-03-20 03:21:00,robo-sensor-pad-188860uCNAKDTV,Germany,44,25,30,188860
2016-03-20 03:21:00,robo-meter-gauge-188861BI3s2,Germany,28,10,45,188861
2016-03-20 03:21:00,robo-sensor-pad-188862qKg4knwieu,Poland,90,32,7,188862
2016-03-20 03:21:00,robo-meter-gauge-188863fjWeAaU,Latvia,27,16,50,188863
2016-03-20 03:21:00,robo-sensor-pad-188864v5kWI,Japan,60,13,99,188864
2016-03-20 03:21:00,robo-device-mac-188865cTbeZ3d,United States,91,30,33,188865
2016-03-20 03:21:00,robo-sensor-pad-188866ljPdGUsyXC,United States,96,19,13,188866
2016-03-20 03:21:00,robo-meter-gauge-188867x9NNYY,France,65,16,29,188867
2016-03-20 03:21:00,robo-sensor-pad-188868OCjbmfI,Austria,82,22,99,188868
2016-03-20 03:21:00,robo-meter-gauge-188869mldcH,Thailand,77,23,92,188869
2016-03-20 03:21:00,robo-sensor-pad-188870XLTn64,Poland,48,12,15,188870
2016-03-20 03:21:00,robo-device-mac-188871aH52O4tbrM,United States,68,12,57,188871
2016-03-20 03:21:00,robo-sensor-pad-188872HUHNH,United Kingdom,79,30,71,188872
2016-03-20 03:21:00,robo-meter-gauge-188873PrToxRqX,Malaysia,47,33,30,188873
2016-03-20 03:21:00,robo-sensor-pad-188874De7x1,Japan,39,14,87,188874
2016-03-20 03:21:00,robo-therm-stick-188875jvqFn,United States,96,34,76,188875
2016-03-20 03:21:00,robo-sensor-pad-188876kC8oXJREgl,Brazil,43,10,19,188876
2016-03-20 03:21:00,robo-device-mac-1888777ZUSDstE,Argentina,49,24,12,188877
2016-03-20 03:21:00,robo-sensor-pad-188878DtSt5V5BS,United States,43,21,29,188878
2016-03-20 03:21:00,robo-meter-gauge-188879MQVu7PLQ,Republic of Korea,43,24,91,188879
2016-03-20 03:21:00,robo-sensor-pad-188880Wp8Vwg,Canada,78,16,86,188880
2016-03-20 03:21:00,robo-meter-gauge-188881UJWkBqd,China,94,25,36,188881
2016-03-20 03:21:00,robo-sensor-pad-188882hJeg7,Poland,45,20,92,188882
2016-03-20 03:21:00,robo-device-mac-188883Ctw83v,United States,31,17,29,188883
2016-03-20 03:21:00,robo-sensor-pad-188884QmUsnRCn,Russia,53,11,9,188884
2016-03-20 03:21:00,robo-therm-stick-188885HMCBDDsD,United Kingdom,59,13,66,188885
2016-03-20 03:21:00,robo-sensor-pad-188886S8kfW,Italy,41,11,81,188886
2016-03-20 03:21:00,robo-meter-gauge-188887hxv75yNZ,Russia,70,11,85,188887
2016-03-20 03:21:00,robo-sensor-pad-188888yc0BbE1LaC,Poland,89,21,89,188888
2016-03-20 03:21:00,robo-device-mac-188889vSPRUaO,Belarus,36,15,43,188889
2016-03-20 03:21:00,robo-sensor-pad-188890yDdTv06,United States,91,33,14,188890
2016-03-20 03:21:00,robo-meter-gauge-1888917BQBgxI0j,United States,56,31,99,188891
2016-03-20 03:21:00,robo-sensor-pad-1888927HaFvkJB,Saudi Arabia,78,16,84,188892
2016-03-20 03:21:00,robo-meter-gauge-188893Eu7wKV7,Republic of Korea,58,22,93,188893
2016-03-20 03:21:00,robo-sensor-pad-188894okjeeV,Japan,88,28,32,188894
2016-03-20 03:21:00,robo-device-mac-1888956qBe2RgWR,United States,34,25,62,188895
2016-03-20 03:21:00,robo-sensor-pad-188896SNgVv,Philippines,32,29,91,188896
2016-03-20 03:21:00,robo-meter-gauge-18889738t4p5IWQi,United States,77,20,41,188897
2016-03-20 03:21:00,robo-sensor-pad-1888989tnws,Canada,63,23,70,188898
2016-03-20 03:21:00,robo-meter-gauge-188899Y9PWokc6,United States,88,24,66,188899
2016-03-20 03:21:00,robo-sensor-pad-188900z2xEu38,United States,42,11,45,188900
2016-03-20 03:21:00,robo-device-mac-188901uvOtNaUR,Czech Republic,57,30,98,188901
2016-03-20 03:21:00,robo-sensor-pad-188902y32mKS,China,26,25,71,188902
2016-03-20 03:21:00,robo-meter-gauge-188903c5sSFhbofG,Spain,81,24,33,188903
2016-03-20 03:21:00,robo-sensor-pad-188904DJNTrIHd,China,86,30,60,188904
2016-03-20 03:21:00,robo-therm-stick-188905pKxj1vhL5,United States,69,29,25,188905
2016-03-20 03:21:00,robo-sensor-pad-188906AucHq,United States,48,28,92,188906
2016-03-20 03:21:00,robo-device-mac-1889073Qtgg3kAB,United States,34,17,96,188907
2016-03-20 03:21:00,robo-sensor-pad-188908WAtB0,Germany,80,12,23,188908
2016-03-20 03:21:00,robo-meter-gauge-188909TZqQ6Hd0j,Romania,66,12,45,188909
2016-03-20 03:21:00,robo-sensor-pad-188910Pp62xq81,United States,52,33,36,188910
2016-03-20 03:21:00,robo-meter-gauge-188911pyZuoMRzW,Japan,73,14,0,188911
2016-03-20 03:21:00,robo-sensor-pad-188912gpCnNxuv75,United States,69,16,94,188912
2016-03-20 03:21:00,robo-device-mac-1889139U6QUKI,Japan,36,30,39,188913
2016-03-20 03:21:00,robo-sensor-pad-188914wmrGa,United States,28,13,40,188914
2016-03-20 03:21:00,robo-therm-stick-188915NUHZTwb,United States,76,14,49,188915
2016-03-20 03:21:00,robo-sensor-pad-1889164Ssm7BBeh,Italy,62,31,85,188916
2016-03-20 03:21:00,robo-meter-gauge-188917IGNQB9xW1,Japan,69,34,19,188917
2016-03-20 03:21:00,robo-sensor-pad-188918uedIO5REM,Germany,39,20,84,188918
2016-03-20 03:21:00,robo-device-mac-188919QTVEiL,China,66,15,43,188919
2016-03-20 03:21:00,robo-sensor-pad-188920zuoczhg,France,51,18,65,188920
2016-03-20 03:21:00,robo-meter-gauge-188921RQORiXlBz4,Republic of Korea,60,24,87,188921
2016-03-20 03:21:00,robo-sensor-pad-18892230MHpdN,France,96,17,60,188922
2016-03-20 03:21:00,robo-meter-gauge-188923zmftiL3,Republic of Korea,75,32,70,188923
2016-03-20 03:21:00,robo-sensor-pad-188924rUXuwOjG8m,Brazil,90,13,68,188924
2016-03-20 03:21:00,robo-device-mac-188925wpcsDBTG,Hong Kong,78,16,64,188925
2016-03-20 03:21:00,robo-sensor-pad-188926qWEVrcfUC,Sri Lanka,94,18,28,188926
2016-03-20 03:21:00,robo-meter-gauge-188927WUjFrh06N,Poland,26,13,38,188927
2016-03-20 03:21:00,robo-sensor-pad-188928sCrW8Z,France,26,31,17,188928
2016-03-20 03:21:00,robo-meter-gauge-188929Iytl70,United States,80,21,15,188929
2016-03-20 03:21:00,robo-sensor-pad-188930Yg0YgCrX2Y,Canada,79,32,44,188930
2016-03-20 03:21:00,robo-device-mac-1889315Kbq0ExSYC,United States,69,14,99,188931
2016-03-20 03:21:00,robo-sensor-pad-188932nr9Zrm1j,Japan,54,14,32,188932
2016-03-20 03:21:00,robo-meter-gauge-188933ZVKp3er4,United States,26,17,44,188933
2016-03-20 03:21:00,robo-sensor-pad-188934RkeIg,Uruguay,33,14,73,188934
2016-03-20 03:21:00,robo-therm-stick-188935BEImT7DOz,United States,64,24,91,188935
2016-03-20 03:21:00,robo-sensor-pad-18893689DTi6s,Belgium,37,13,58,188936
2016-03-20 03:21:00,robo-device-mac-188937emVgr,Republic of Korea,51,25,4,188937
2016-03-20 03:21:00,robo-sensor-pad-188938y6LDTOLoJ,Slovenia,73,12,47,188938
2016-03-20 03:21:00,robo-meter-gauge-1889399kutDyJHwt,United States,93,28,34,188939
2016-03-20 03:21:00,robo-sensor-pad-188940VyMsWO,Republic of Korea,33,25,25,188940
2016-03-20 03:21:00,robo-meter-gauge-188941J2Wqx,United States,28,22,21,188941
2016-03-20 03:21:00,robo-sensor-pad-188942JCgx9yB,United States,89,16,65,188942
2016-03-20 03:21:00,robo-device-mac-188943dRF3UyuZ,Switzerland,29,20,96,188943
2016-03-20 03:21:00,robo-sensor-pad-1889448Uu6b,Malaysia,26,32,1,188944
2016-03-20 03:21:00,robo-therm-stick-188945CYofnv,Norway,71,10,35,188945
2016-03-20 03:21:00,robo-sensor-pad-188946kvuEGgMeaA,Belgium,88,32,21,188946
2016-03-20 03:21:00,robo-meter-gauge-188947k1v7zFRBkm,Canada,92,32,48,188947
2016-03-20 03:21:00,robo-sensor-pad-1889483zRqjlfPcV,Thailand,99,31,59,188948
2016-03-20 03:21:00,robo-device-mac-188949NjfE7,Russia,74,31,83,188949
2016-03-20 03:21:00,robo-sensor-pad-188950cQcaPaa0,United States,96,11,96,188950
2016-03-20 03:21:00,robo-meter-gauge-188951jh8CF,Canada,87,15,99,188951
2016-03-20 03:21:00,robo-sensor-pad-188952u4TNu,Romania,60,23,40,188952
2016-03-20 03:21:00,robo-meter-gauge-188953wODSe8xHbV,Germany,43,26,7,188953
2016-03-20 03:21:00,robo-sensor-pad-188954i8XtZ,United States,87,19,99,188954
2016-03-20 03:21:00,robo-device-mac-188955EJoen,Spain,74,31,73,188955
2016-03-20 03:21:00,robo-sensor-pad-188956VShWZ,United States,60,17,60,188956
2016-03-20 03:21:00,robo-meter-gauge-188957PJs1F7NT8,Japan,93,16,84,188957
2016-03-20 03:21:00,robo-sensor-pad-188958VoM08CJwQ5,United States,41,14,28,188958
2016-03-20 03:21:00,robo-meter-gauge-188959KB4HR,United States,94,23,63,188959
2016-03-20 03:21:00,robo-sensor-pad-188960WNg03s,United States,83,11,4,188960
2016-03-20 03:21:00,robo-device-mac-188961lHDcJwMXm,United States,27,29,3,188961
2016-03-20 03:21:00,robo-sensor-pad-188962dGVUPBJBV,United States,41,13,47,188962
2016-03-20 03:21:00,robo-meter-gauge-188963A0QrTeJp,United States,43,12,93,188963
2016-03-20 03:21:00,robo-sensor-pad-188964pFdA0qY,China,38,26,84,188964
2016-03-20 03:21:00,robo-therm-stick-188965CfTnzEM,United States,61,32,32,188965
2016-03-20 03:21:00,robo-sensor-pad-188966s6mEm,United States,51,28,52,188966
2016-03-20 03:21:00,robo-device-mac-188967OCc9UiGi8,France,28,29,96,188967
2016-03-20 03:21:00,robo-sensor-pad-1889681DYy4AE,China,56,29,67,188968
2016-03-20 03:21:00,robo-meter-gauge-188969y5KB2Z9l5T,Republic of Lithuania,45,11,78,188969
2016-03-20 03:21:00,robo-sensor-pad-1889701dUtgY9zlf,Philippines,25,17,29,188970
2016-03-20 03:21:00,robo-meter-gauge-188971QpW5O,United States,48,31,18,188971
2016-03-20 03:21:00,robo-sensor-pad-188972Sm1Jgc,China,40,32,24,188972
2016-03-20 03:21:00,robo-device-mac-188973YLCchg59T,United States,76,27,23,188973
2016-03-20 03:21:00,robo-sensor-pad-188974TrPsG,United Kingdom,65,23,43,188974
2016-03-20 03:21:00,robo-therm-stick-188975UpdF09hPHI,United States,71,28,30,188975
2016-03-20 03:21:00,robo-sensor-pad-188976HSB7bSA,Japan,67,20,30,188976
2016-03-20 03:21:00,robo-meter-gauge-188977AG5jefGGP,Germany,43,22,68,188977
2016-03-20 03:21:00,robo-sensor-pad-188978bCC7a,France,88,17,7,188978
2016-03-20 03:21:00,robo-device-mac-188979DXL8OT,Australia,74,30,14,188979
2016-03-20 03:21:00,robo-sensor-pad-188980YDJOO,Azerbaijan,43,19,49,188980
2016-03-20 03:21:00,robo-meter-gauge-188981E66x1w,China,65,27,70,188981
2016-03-20 03:21:00,robo-sensor-pad-1889827mfdQB4,Romania,63,19,49,188982
2016-03-20 03:21:00,robo-meter-gauge-188983eHon6iD,United States,48,27,50,188983
2016-03-20 03:21:00,robo-sensor-pad-1889842k5fbOr,Canada,40,30,0,188984
2016-03-20 03:21:00,robo-device-mac-188985LDxeD921Ev,United States,88,10,89,188985
2016-03-20 03:21:00,robo-sensor-pad-188986uBOyH,United States,81,23,70,188986
2016-03-20 03:21:00,robo-meter-gauge-188987Gt0wk1,United States,68,27,25,188987
2016-03-20 03:21:00,robo-sensor-pad-188988HXEnpsd,China,62,13,20,188988
2016-03-20 03:21:00,robo-meter-gauge-188989Q0FGG,United States,34,10,74,188989
2016-03-20 03:21:00,robo-sensor-pad-188990XT0jzo,China,96,32,47,188990
2016-03-20 03:21:00,robo-device-mac-188991NPBVKN,United States,54,26,74,188991
2016-03-20 03:21:00,robo-sensor-pad-1889925PKW923X,United States,41,10,55,188992
2016-03-20 03:21:00,robo-meter-gauge-188993wGF2uy,United States,55,10,68,188993
2016-03-20 03:21:00,robo-sensor-pad-188994Wdy4PEaJgw,Slovak Republic,44,13,6,188994
2016-03-20 03:21:00,robo-therm-stick-188995XM26GW,Sweden,45,27,83,188995
2016-03-20 03:21:00,robo-sensor-pad-188996fws0F0H5UP,United States,79,19,49,188996
2016-03-20 03:21:00,robo-device-mac-188997NDiuCSJkJf,Germany,97,18,44,188997
2016-03-20 03:21:00,robo-sensor-pad-188998R2IjdR,United States,58,30,43,188998
2016-03-20 03:21:00,robo-meter-gauge-188999Jox6Ry,Republic of Korea,94,15,93,188999
2016-03-20 03:21:00,robo-sensor-pad-189000EPpUs,United States,73,31,18,189000
2016-03-20 03:21:00,robo-meter-gauge-189001tI33WZL9c,China,81,15,73,189001
2016-03-20 03:21:00,robo-sensor-pad-189002sZdm3BIc,Mexico,52,19,83,189002
2016-03-20 03:21:00,robo-device-mac-189003xUuAk,United States,76,32,99,189003
2016-03-20 03:21:00,robo-sensor-pad-1890048T0CebbYR,Mexico,69,27,1,189004
2016-03-20 03:21:00,robo-therm-stick-189005ytkEbjxtK4,United States,94,33,43,189005
2016-03-20 03:21:00,robo-sensor-pad-189006uaIzATIMk,Belgium,92,20,2,189006
2016-03-20 03:21:00,robo-meter-gauge-189007ukSYd,Finland,87,33,73,189007
2016-03-20 03:21:00,robo-sensor-pad-189008Z9vsdja0VG,Sweden,77,29,55,189008
2016-03-20 03:21:00,robo-device-mac-189009EvkLel,Poland,35,14,13,189009
2016-03-20 03:21:00,robo-sensor-pad-189010ejllzfm,United States,42,30,42,189010
2016-03-20 03:21:00,robo-meter-gauge-1890116IW9Xb,United States,64,28,15,189011
2016-03-20 03:21:00,robo-sensor-pad-189012YB5n2Bd,Russia,45,21,39,189012
2016-03-20 03:21:00,robo-meter-gauge-189013SHLc6nek9,China,27,18,18,189013
2016-03-20 03:21:00,robo-sensor-pad-189014cZ1xcTzBs,Italy,92,20,76,189014
2016-03-20 03:21:00,robo-device-mac-1890155DvTPLgd,Germany,65,18,68,189015
2016-03-20 03:21:00,robo-sensor-pad-189016Mr5LdJk2,United States,41,24,44,189016
2016-03-20 03:21:00,robo-meter-gauge-189017Bmm9SRO,United States,65,22,67,189017
2016-03-20 03:21:00,robo-sensor-pad-189018pRgwMX6V,United States,93,19,4,189018
2016-03-20 03:21:00,robo-meter-gauge-189019VuTN6u,United States,29,23,33,189019
2016-03-20 03:21:00,robo-sensor-pad-189020dhRQaG,Japan,43,33,75,189020
2016-03-20 03:21:00,robo-device-mac-189021xtZ8T8l95,Hong Kong,89,16,80,189021
2016-03-20 03:21:00,robo-sensor-pad-189022PrNb0h0EgP,United States,79,16,21,189022
2016-03-20 03:21:00,robo-meter-gauge-18902308gwBTjt3g,Latvia,81,28,19,189023
2016-03-20 03:21:00,robo-sensor-pad-189024iufgX,Poland,35,13,24,189024
2016-03-20 03:21:00,robo-therm-stick-189025SblCg,United States,35,19,33,189025
2016-03-20 03:21:00,robo-sensor-pad-189026Im4jPxw,United States,90,24,93,189026
2016-03-20 03:21:00,robo-device-mac-189027eRcUEUD,Russia,35,25,27,189027
2016-03-20 03:21:00,robo-sensor-pad-189028DAMG2x,Canada,43,13,24,189028
2016-03-20 03:21:00,robo-meter-gauge-18902969Gc1Tt,United States,80,25,56,189029
2016-03-20 03:21:00,robo-sensor-pad-189030UjVCgX,United States,52,19,16,189030
2016-03-20 03:21:00,robo-meter-gauge-189031moJWHqK1jr,Malaysia,46,23,84,189031
2016-03-20 03:21:00,robo-sensor-pad-1890323YL7wG4RuZ,Germany,85,24,69,189032
2016-03-20 03:21:00,robo-device-mac-189033VGfqMOSy,United States,85,22,20,189033
2016-03-20 03:21:00,robo-sensor-pad-189034pOiFR,Japan,33,31,19,189034
2016-03-20 03:21:00,robo-therm-stick-189035KfaEso,United States,62,21,58,189035
2016-03-20 03:21:00,robo-sensor-pad-18903674EKTznA5,Uruguay,30,13,52,189036
2016-03-20 03:21:00,robo-meter-gauge-1890375ZjWF,France,69,22,7,189037
2016-03-20 03:21:00,robo-sensor-pad-189038VKqAMM,United States,74,21,80,189038
2016-03-20 03:21:00,robo-device-mac-1890394hg7psKo,Peru,98,34,30,189039
2016-03-20 03:21:00,robo-sensor-pad-189040q9xezlG0,Japan,95,13,5,189040
2016-03-20 03:21:00,robo-meter-gauge-189041yfDyN01E,United States,85,21,90,189041
2016-03-20 03:21:00,robo-sensor-pad-189042672vWDAlAX,Serbia,81,29,92,189042
2016-03-20 03:21:00,robo-meter-gauge-189043o3Sgw,United States,50,17,78,189043
2016-03-20 03:21:00,robo-sensor-pad-189044wiFvhetq,United States,82,32,55,189044
2016-03-20 03:21:00,robo-device-mac-189045EieP7KmM,United States,54,25,52,189045
2016-03-20 03:21:00,robo-sensor-pad-1890463KCvbZQdAH,United States,32,21,0,189046
2016-03-20 03:21:00,robo-meter-gauge-189047OXliB5y,France,31,11,15,189047
2016-03-20 03:21:00,robo-sensor-pad-189048diaDU,Sweden,69,28,76,189048
2016-03-20 03:21:00,robo-meter-gauge-189049K4foda2md,Canada,51,34,62,189049
2016-03-20 03:21:00,robo-sensor-pad-189050WNYyBkhjG,Romania,65,13,64,189050
2016-03-20 03:21:00,robo-device-mac-1890514GffEQc5,United States,50,12,77,189051
2016-03-20 03:21:00,robo-sensor-pad-189052N97o3s13RY,Republic of Lithuania,74,17,25,189052
2016-03-20 03:21:00,robo-meter-gauge-189053Elyfv,United States,65,30,58,189053
2016-03-20 03:21:00,robo-sensor-pad-189054D6lo6Jas,United States,38,25,14,189054
2016-03-20 03:21:00,robo-therm-stick-189055HjvY0NaNJ,United States,86,24,51,189055
2016-03-20 03:21:00,robo-sensor-pad-189056rqytwrOJd9,France,97,19,65,189056
2016-03-20 03:21:00,robo-device-mac-189057yoctC3CMR,Germany,37,29,10,189057
2016-03-20 03:21:00,robo-sensor-pad-189058uo6d3yCuj8,United States,95,29,19,189058
2016-03-20 03:21:00,robo-meter-gauge-189059vURVrlp,Malaysia,71,23,75,189059
2016-03-20 03:21:00,robo-sensor-pad-189060DxKgFKuB9,Mexico,45,31,98,189060
2016-03-20 03:21:00,robo-meter-gauge-189061i7Iad5DAt1,Brazil,43,11,67,189061
2016-03-20 03:21:00,robo-sensor-pad-189062jBlKcqM,China,78,10,88,189062
2016-03-20 03:21:00,robo-device-mac-189063nVfSZ20,United States,96,19,52,189063
2016-03-20 03:21:00,robo-sensor-pad-1890644oSLC,Republic of Korea,25,26,82,189064
2016-03-20 03:21:00,robo-therm-stick-189065jBXBysEzjv,China,75,28,35,189065
2016-03-20 03:21:00,robo-sensor-pad-189066C4K1zIbZ,Germany,99,18,81,189066
2016-03-20 03:21:00,robo-meter-gauge-189067p4vZtmqe,United States,59,27,5,189067
2016-03-20 03:21:00,robo-sensor-pad-189068po8cw,Bosnia and Herzegovina,45,28,97,189068
2016-03-20 03:21:00,robo-device-mac-189069D0Zrvijc,Brazil,36,16,29,189069
2016-03-20 03:21:00,robo-sensor-pad-189070b31dcv,United States,63,26,0,189070
2016-03-20 03:21:00,robo-meter-gauge-189071iniDNioqg,Italy,60,30,46,189071
2016-03-20 03:21:00,robo-sensor-pad-189072Z4pcTXeng,Canada,49,16,93,189072
2016-03-20 03:21:00,robo-meter-gauge-189073N3bOt,Canada,31,18,16,189073
2016-03-20 03:21:00,robo-sensor-pad-189074wMar5O,Sweden,99,25,73,189074
2016-03-20 03:21:00,robo-device-mac-189075gtZnyS4,Hong Kong,93,20,36,189075
2016-03-20 03:21:00,robo-sensor-pad-189076ig8ouU11c,United States,49,34,52,189076
2016-03-20 03:21:00,robo-meter-gauge-189077QTOwbZO6,Canada,75,12,5,189077
2016-03-20 03:21:00,robo-sensor-pad-189078uslcLv5Jd,Poland,74,16,33,189078
2016-03-20 03:21:00,robo-meter-gauge-189079bhovDAqIZ,Russia,74,31,94,189079
2016-03-20 03:21:00,robo-sensor-pad-1890809vLINqU,United States,79,30,54,189080
2016-03-20 03:21:00,robo-device-mac-1890818AURVcUv,United States,64,32,70,189081
